24-09-17 22:54:28.797 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[localhost].[/journal] -- Initializing Spring DispatcherServlet 'dispatcherServlet'  
24-09-17 22:54:28.799 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet -- Initializing Servlet 'dispatcherServlet'  
24-09-17 22:54:28.803 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet -- Completed initialization in 3 ms  
24-09-17 22:54:47.047 [main] INFO  c.B.journalApp.JournalApplication -- Starting JournalApplication using Java 21.0.1 with PID 23084 (C:\Users\kbb91\Desktop\journalApp\target\classes started by kbb91 in C:\Users\kbb91\Desktop\journalApp)  
24-09-17 22:54:47.049 [main] INFO  c.B.journalApp.JournalApplication -- The following 1 profile is active: "dev"  
24-09-17 22:54:48.112 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.  
24-09-17 22:54:48.221 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate -- Finished Spring Data repository scanning in 103 ms. Found 2 MongoDB repository interfaces.  
24-09-17 22:54:48.983 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer -- Tomcat initialized with port 8080 (http)  
24-09-17 22:54:49.000 [main] INFO  o.a.coyote.http11.Http11NioProtocol -- Initializing ProtocolHandler ["http-nio-8080"]  
24-09-17 22:54:49.005 [main] INFO  o.a.catalina.core.StandardService -- Starting service [Tomcat]  
24-09-17 22:54:49.005 [main] INFO  o.a.catalina.core.StandardEngine -- Starting Servlet engine: [Apache Tomcat/10.1.28]  
24-09-17 22:54:49.073 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] -- Initializing Spring embedded WebApplicationContext  
24-09-17 22:54:49.074 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext -- Root WebApplicationContext: initialization completed in 1960 ms  
24-09-17 22:54:49.558 [cluster-ClusterId{value='66ea40f922cc1f287e08df59', description='Journal'}-srv-journal.ltwg8.mongodb.net] INFO  org.mongodb.driver.cluster -- Adding discovered server journal-shard-00-02.ltwg8.mongodb.net:27017 to client view of cluster  
24-09-17 22:54:49.607 [main] INFO  org.mongodb.driver.client -- MongoClient with metadata {"application": {"name": "Journal"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.3"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.1+12-LTS-29"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='kbb914', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@46a123e4, com.mongodb.Jep395RecordCodecProvider@44bc2449, com.mongodb.KotlinCodecProvider@3c28e5b6]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=journal.ltwg8.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-13wvc5-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Journal', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}  
24-09-17 22:54:49.651 [cluster-ClusterId{value='66ea40f922cc1f287e08df59', description='Journal'}-srv-journal.ltwg8.mongodb.net] INFO  org.mongodb.driver.cluster -- Adding discovered server journal-shard-00-00.ltwg8.mongodb.net:27017 to client view of cluster  
24-09-17 22:54:49.656 [cluster-ClusterId{value='66ea40f922cc1f287e08df59', description='Journal'}-srv-journal.ltwg8.mongodb.net] INFO  org.mongodb.driver.cluster -- Adding discovered server journal-shard-00-01.ltwg8.mongodb.net:27017 to client view of cluster  
24-09-17 22:54:50.599 [main] INFO  org.mongodb.driver.cluster -- No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=journal-shard-00-02.ltwg8.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=journal-shard-00-01.ltwg8.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=journal-shard-00-00.ltwg8.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out  
24-09-17 22:54:51.044 [cluster-ClusterId{value='66ea40f922cc1f287e08df59', description='Journal'}-journal-shard-00-02.ltwg8.mongodb.net:27017] INFO  org.mongodb.driver.cluster -- Monitor thread successfully connected to server with description ServerDescription{address=journal-shard-00-02.ltwg8.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=909485000, setName='atlas-13wvc5-shard-0', canonicalAddress=journal-shard-00-02.ltwg8.mongodb.net:27017, hosts=[journal-shard-00-02.ltwg8.mongodb.net:27017, journal-shard-00-00.ltwg8.mongodb.net:27017, journal-shard-00-01.ltwg8.mongodb.net:27017], passives=[], arbiters=[], primary='journal-shard-00-02.ltwg8.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='usw2-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_WEST_2'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000010a, setVersion=15, topologyVersion=TopologyVersion{processId=66d8ed15b24881880988d454, counter=6}, lastWriteDate=Tue Sep 17 22:54:51 EDT 2024, lastUpdateTimeNanos=532895860273400}  
